App,App ID,Sviluppatore,Sito sviluppatore,Download (fascia),Download (min),"Download (reali, se disp.)",Rating medio (store),Numero recensioni (store),Numero voti (store),Prezzo,Free,Contiene acquisti in-app,Ultimo aggiornamento,Versione,Categoria
KitchenPal,fr.icuisto.icuisto,iCuisto Pte Ltd,https://www.kitchenpalapp.com,100.000+,100000,360084,4.375,6394,15,0,True,True,1786874989,6.1.1,Mangiare e bere
NoWaste,com.khcreations.nowaste,KH Creations ApS,http://nowasteapp.com,50.000+,50000,60934,3.8461537,265,5,0,True,True,1777205061,7.4.6,Mangiare e bere
BestBefore,com.peytu.bestbefore,PeytuApp,https://www.peytuapp.com,50.000+,50000,90325,3.7391305,947,16,0,True,True,1783528144,2.92,Mangiare e bere
